country,year,gdp_for_year,gdp_per_capital,suicides per100k,Latitude,Longitude
Antigua and Barbuda,2015,1364863037 ,14853,15.62,17.325118,-62.5706777
Argentina,2015,594749285413 ,14981,112.13,-37.0504826,-81.6679323
Armenia,2015,10553337673 ,3775,45.28,40.069099,45.038189
Australia,2015,1349034029453 ,60656,154.18,-25.274398,133.775136
Austria,2015,382065930308 ,46484,194.62,47.516231,14.550072
Belgium,2015,455039563133 ,42830,196.66,50.503887,4.469936
Belize,2015,1778567600 ,5561,135.46,17.189877,-88.49765
Brazil,2015,1802214373741 ,9431,77.45,-14.235004,-51.92528
Chile,2015,243999477738 ,14729,147.68,-35.675147,-71.542969
Colombia,2015,291519591533 ,6552,70.4,4.570868,-74.297333
Croatia,2015,49425513611 ,12351,229.68,45.1,15.2
Cuba,2015,87132800000 ,8044,194.31,21.521757,-77.781167
Cyprus,2015,19676167240 ,24718,49.59,35.126413,33.429859
Czech Republic,2015,186829940546 ,18703,170.87,49.817492,15.472962
Denmark,2015,301298464861 ,55972,121.42,56.26392,9.501785
Ecuador,2015,99290381000 ,6832,97.39,-1.831239,-78.183406
Estonia,2015,22566956982 ,18149,205.38,58.595272,25.013607
Finland,2015,232464833066 ,44862,161.19,61.92411,25.748151
Georgia,2015,13993546732 ,4046,84.68,42.315407,43.356892
Germany,2015,3375611100742 ,43201,150.34,51.165691,10.451526
Greece,2015,195541761243 ,18927,56.06,39.074208,21.824312
Grenada,2015,997007926 ,10290,0,12.262776,-61.604171
Guatemala,2015,63767597194 ,4472,44.85,15.783471,-90.230759
Hungary,2015,122879042002 ,13087,257.27,47.162494,19.503304
Iceland,2015,16942247374 ,54909,140.65,64.963051,-19.020835
Israel,2015,299093839690 ,39793,65.91,31.046051,34.851612
Italy,2015,1832868490534 ,31537,78.45,41.87194,12.56738
Japan,2015,4394977752878 ,36510,206.04,36.204824,138.252924
Kazakhstan,2015,184388432149 ,11784,238.02,48.019573,66.923684
Kyrgyzstan,2015,6678178340 ,1285,98.37,41.20438,74.766098
Latvia,2015,26972863394 ,14382,251.47,56.879635,24.603189
Lithuania,2015,41508609233 ,15073,385.48,55.169438,23.881275
Luxembourg,2015,57784495265 ,107456,134.4,49.815273,6.129583
Malta,2015,10574026838 ,25750,78.27,35.937496,14.375416
Mauritius,2015,11692287066 ,10125,99.97,-20.348404,57.552152
Mexico,2015,1169622672463 ,10228,66.57,23.634501,-102.552784
Netherlands,2015,757999453314 ,47206,126.93,52.132633,5.291266
Nicaragua,2015,12611087031 ,2303,69.87,12.865416,-85.207229
Norway,2015,386663139403 ,79187,136.43,60.472024,8.468946
Panama,2015,54315722500 ,15158,44.9,8.537981,-80.782127
Poland,2015,477355617456 ,13228,166.99,51.919438,19.145136
Puerto Rico,2015,103143500000 ,29728,85.58,18.220833,-66.590149
Qatar,2015,164641483516 ,69937,18.84,25.354826,51.183884
Republic of Korea,2015,1382764027114 ,28410,389.14,35.907757,127.766922
Romania,2015,177911101680 ,9431,133.55,45.943161,24.96676
Russian Federation,2015,1368400705491 ,9987,236.92,61.52401,105.318756
Saint Vincent and Grenadines,2015,756666667 ,7496,28.08,12.984305,-61.287228
Serbia,2015,37160332465 ,5492,205.97,44.016521,21.005859
Seychelles,2015,1375604279 ,16005,81.25,-4.679574,55.491977
Singapore,2015,304097759674 ,81766,109.29,1.352083,103.819836
Slovenia,2015,43072415017 ,22036,264.81,46.151241,14.995463
South Africa,2015,317741039198 ,6403,13,-30.559482,22.937506
Spain,2015,1197789902774 ,27108,97.38,40.463667,-3.74922
Sweden,2015,497918109302 ,54629,149.3,60.128161,18.643501
Switzerland,2015,679289166858 ,86068,164.66,46.818188,8.227512
Thailand,2015,401399422443 ,6552,81.15,15.870032,100.992541
Turkey,2015,859796872794 ,11961,28.47,38.963745,35.243322
Turkmenistan,2015,35799628571 ,7326,28.48,38.969719,59.556278
Ukraine,2015,91030959455 ,2256,244.72,48.379433,31.16558
United Kingdom,2015,2885570309161 ,47240,86.74,55.378051,-3.435973
United States,2015,18120714000000 ,60387,175.41,37.09024,-95.712891
Uruguay,2015,53274304222 ,16696,270.02,-32.522779,-55.765835
